country_name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Libya,1.139,0.217,1.2,0.837,0.892,0.684,0.663,0.745,0.759,0.784,0.67,1.988,0.782,0.699,1.151,1.211,0.685,1.587,0.265,1.646,0.822
Liechtenstein,0.966,1.449,1.43,1.381,1.672,0.896,0.661,0.96,1.935,1.39,1.404,0.475,1.653,1.607,0.92,2.239,2.043,2.022,1.782,2.252,2.054
Lithuania,1.484,2.019,1.798,1.908,0.173,0.869,1.195,0.91,2.182,2.21,1.385,0.723,0.914,1.323,0.926,2.196,2.063,1.913,1.511,2.395,2.601
Luxembourg,Unknown,1.636,1.412,1.369,1.67,0.994,1.112,1.338,1.923,1.262,1.168,0.303,1.321,1.244,0.553,2.452,1.498,1.849,1.622,2.447,2.143
"Madagascar, Rep. of",0.401,0.383,0.561,0.545,0.607,0.405,0.61,0.739,0.625,0.441,0.797,1.055,0.956,0.726,0.629,0.686,0.976,0.921,1.206,0.861,1.328
Malawi,0.352,0.815,0.668,0.851,1.027,0.892,1.474,1.014,1.101,0.539,0.705,0.996,0.717,0.942,0.68,1.013,1.054,1.442,1.35,1.038,1.115
Malaysia,0.42,0.405,0.638,0.765,0.771,0.692,0.891,0.628,0.686,0.571,0.785,0.985,0.614,0.787,1.001,1.028,1.218,1.661,1.185,1.184,1.446
Maldives,0.28,0.243,0.431,0.586,0.483,0.348,0.798,0.337,0.379,0.174,0.5,0.635,0.509,0.518,0.603,0.704,0.858,0.918,0.798,0.762,1.088
Mali,0.433,0.723,0.642,1.309,1.327,1.281,1.466,1.155,0.994,0.616,1.032,1.725,1.298,0.486,1.054,0.932,1.182,1.261,1.524,1.197,1.267
Malta,1.246,1.034,1.642,0.91,1.387,0.691,0.706,1.033,1.425,1.299,1.112,1.287,1.067,1.417,1.328,1.472,1.455,1.721,1.22,1.417,1.243
"Marshall Islands, Rep. of the",-0.192,-0.077,0.246,0.406,0.372,0.512,0.443,0.371,0.376,0.128,0.331,0.502,0.312,0.695,0.661,0.72,0.617,0.926,0.724,0.51,0.718
Martinique,0.503,0.322,0.533,0.694,0.902,0.562,0.865,0.747,0.852,0.413,0.568,1.221,0.65,0.754,0.767,0.727,0.973,1.133,0.899,0.651,0.786
"Mauritania, Islamic Rep. of",0.492,1.133,1.276,1.259,1.278,1.385,1.304,1.347,0.968,1.254,0.845,1.905,1.549,0.854,1.414,1.326,1.381,1.702,2.101,1.122,1.469
Mauritius,0.103,0.02,0.381,0.28,0.571,0.191,0.261,0.171,0.362,0.088,0.718,1.012,0.826,0.603,0.688,0.724,1.058,0.971,1.21,0.913,1.308
Mayotte,0.27,0.233,0.387,0.839,0.512,0.386,0.521,0.317,0.746,0.327,0.512,0.755,0.492,0.425,0.282,0.478,0.703,0.607,0.848,0.632,1.17
Mexico,0.611,0.586,0.505,0.677,0.827,0.305,0.743,0.877,0.434,0.505,1.029,0.246,0.973,0.882,0.723,0.827,1.089,1.278,1.547,1.167,1.307
"Micronesia, Federated States of",0.092,0.229,0.374,0.199,0.284,0.401,0.265,0.269,0.207,-0.047,0.072,0.252,0.12,0.533,0.678,0.515,0.545,0.92,0.851,0.726,0.791
"Moldova, Rep. of",0.921,1.484,1.697,1.438,-0.197,0.72,0.873,0.287,2.387,1.545,1.779,1.331,0.451,2.052,1.325,1.399,1.943,2.023,1.349,2.02,2.336
Monaco,0.882,1.063,1.34,0.861,1.584,0.779,0.699,1.06,1.519,0.967,1.327,0.305,1.25,1.242,0.569,1.645,1.719,1.576,1.762,1.729,1.7
Mongolia,1.775,0.991,1.697,1.803,0.515,1.773,0.959,1.231,2.739,1.771,1.41,0.325,0.773,0.246,1.027,1.867,2.129,1.392,2.486,2.214,1.849
Montenegro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.535,1.781,1.339,1.297,1.267,1.036,1.712,1.515,1.605,1.779,1.558,1.364,2.317,1.923
Montserrat,0.611,0.384,Unknown,0.681,0.9,0.566,0.864,0.561,0.847,0.303,0.482,1.147,0.576,0.682,0.766,0.723,1.032,1.105,0.965,0.694,0.806
Morocco,1.099,0.956,1.84,1.194,1.685,1.119,1.27,1.472,1.013,1.151,1.251,2.117,1.789,1.393,1.311,1.711,1.24,1.968,2.276,0.685,1.578
"Mozambique, Rep. of",0.276,0.351,0.492,0.625,0.641,0.492,1.072,0.505,0.619,0.302,0.478,0.871,0.622,0.641,0.394,0.616,0.911,1.141,0.806,0.723,1.079
Myanmar,0.815,0.11,0.563,0.647,0.644,0.587,0.906,0.773,0.456,0.463,0.898,1.188,0.508,0.878,0.94,0.799,1.115,1.339,1.28,1.024,1.691
Namibia,1.016,0.144,0.576,1.104,1.45,1.077,0.982,-0.019,0.894,0.918,0.725,1.594,0.013,0.429,1.376,1.039,1.706,2.051,1.463,2.053,2.713
"Nauru, Rep. of",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Nepal,0.583,0.045,0.419,0.496,0.272,0.391,0.747,0.876,0.714,0.335,1.189,1.214,0.308,0.493,0.281,0.437,0.677,1.19,1.214,0.742,0.746
"Netherlands, The",1.569,1.587,1.259,1.517,1.196,1.15,1.241,1.494,2.061,1.42,1.213,0.088,1.056,1.135,0.414,2.548,1.269,1.914,1.704,2.11,2.116
